"species","model","cv","COR","ROC","PRG"
"nsw40","MaxEnt-LQP","random",0.161698276041464,0.592821023440297,0.199719604271298
"nsw43","BRT-stump","spatial",0.302624803825535,0.712258163647053,0.511361658752401
"nsw43","BRT-stump","random",0.310206111964183,0.712658997381218,0.537206712821195
"nsw43","MaxEnt-LQP","spatial",0.204220868674167,0.645008283897173,0.356287216813547
"nsw43","MaxEnt-LQP","random",0.217579252120776,0.656592378814602,0.403226933609565
"nsw45","BRT-stump","spatial",0.3489253931923,0.81581890637042,0.789168947865199
"nsw45","BRT-stump","random",0.364370794550385,0.811659993608901,0.80578292559183
"nsw45","MaxEnt-LQP","spatial",0.400620949640437,0.829949811086674,0.882864598718773
"nsw45","MaxEnt-LQP","random",0.264991492370831,0.724167747514051,0.712437108335895
"nsw49","BRT-stump","spatial",0.368127004220702,0.784006037054538,0.653329527876985
"nsw49","BRT-stump","random",0.433249466216717,0.833191105218244,0.805828394807932
"nsw49","MaxEnt-LQP","spatial",0.238738644259252,0.688210112066352,0.441800020199363
"nsw49","MaxEnt-LQP","random",0.311495257661057,0.744729919388395,0.549205532864092
"nsw52","BRT-stump","spatial",0.32337904636385,0.757338509651677,0.737644757298424
"nsw52","BRT-stump","random",0.347868711852165,0.77236421151012,0.699450729055307
"nsw52","MaxEnt-LQP","spatial",0.341133468608309,0.766907509256263,0.630115859979778
"nsw52","MaxEnt-LQP","random",0.3521247568958,0.775649735792085,0.674676952906985
"nsw53","BRT-stump","spatial",0.120417665672681,0.684977536149809,0.497094665763276
"nsw53","BRT-stump","random",0.121703386188336,0.708045456261562,0.383990693058504
"nsw53","MaxEnt-LQP","spatial",0.119556253821368,0.7028731075622,0.507779701727416
"nsw53","MaxEnt-LQP","random",0.125503585860724,0.714878997243931,0.530605745251681
"nsw54","BRT-stump","spatial",0.0382846760283118,0.585195206803247,-0.218115965669838
"nsw54","BRT-stump","random",0.042605699272505,0.609161190568226,0.162508155752403
"nsw54","MaxEnt-LQP","spatial",0.0557389045698788,0.628295322767686,0.413112033430303
"nsw54","MaxEnt-LQP","random",0.0510508683135025,0.620641669887901,0.493645501827901
"nz01","BRT-stump","spatial",0.15047445854414,0.954543864169129,0.760878825829495
"nz01","BRT-stump","random",0.123727085215186,0.917766411888312,-0.176455155140569
"nz01","MaxEnt-LQP","spatial",-0.00975174185184786,0.542356492393225,0.38503904361926
"nz01","MaxEnt-LQP","random",0.0201009575223462,0.704306102910047,-0.895920639795241
"nz02","BRT-stump","spatial",0.421803889892633,0.802114758940864,0.668512579778352
"nz02","BRT-stump","random",0.468888335236955,0.820539866264814,0.72406846369102
"nz02","MaxEnt-LQP","spatial",0.440500843701568,0.802103939461069,0.70051978458483
"nz02","MaxEnt-LQP","random",0.448926665117197,0.793705535978738,0.686325738562051
"nz03","BRT-stump","spatial",0.0890156031194379,0.714321550891212,0.80988648349948
"nz03","BRT-stump","random",0.0823197428136803,0.701449871049164,0.864624683145907
"nz03","MaxEnt-LQP","spatial",0.0768239530616085,0.64851506027254,0.764846963653973
"nz03","MaxEnt-LQP","random",0.0550445693406809,0.623901406915897,0.631549722239003
"nz04","BRT-stump","spatial",0.433874623536373,0.889325806000936,0.855288865701176
"nz04","BRT-stump","random",0.440119726956792,0.89645171578408,0.828072445452305
